A Mechanistic Model for Protein Evolutio,https://r-forge.r-project.org/projects/proteinevoutk20/
A R/C++ Template Library,https://r-forge.r-project.org/projects/rcppbind/
A cookbook of epidemiological models,https://r-forge.r-project.org/projects/epicookbook/
ADNI / PPSB / Clinical Endpoints WkGrp,https://r-forge.r-project.org/projects/adni-ppsb-cewg/
ADRminer,https://r-forge.r-project.org/projects/adrminer/
AFLP,https://r-forge.r-project.org/projects/aflp/
AICTS I,https://r-forge.r-project.org/projects/urca/
AICTS II,https://r-forge.r-project.org/projects/vars/
AMBUR,https://r-forge.r-project.org/projects/ambur/
AMBUR-Tools,https://r-forge.r-project.org/projects/ambur-tools/
AMBURHVA,https://r-forge.r-project.org/projects/ambur-hva/
AMELI WP6 + WP8,https://r-forge.r-project.org/projects/ameli/
AMOREJ / AMORE++,https://r-forge.r-project.org/projects/amore/
ANN,https://r-forge.r-project.org/projects/ann/
APE incomplete distance extension,https://r-forge.r-project.org/projects/ape/
APT: Analysis of Phylogeny Topology,https://r-forge.r-project.org/projects/apt/
AQ-R bridge,https://r-forge.r-project.org/projects/aqr/
ASCJR,https://r-forge.r-project.org/projects/ascjr/
ASSET,https://r-forge.r-project.org/projects/asset/
AURELHY,https://r-forge.r-project.org/projects/aurelhy/
AVHRR probabilistic cloud and snow mask,https://r-forge.r-project.org/projects/pcm/
AcceptABEL,https://r-forge.r-project.org/projects/acceptabel/
Activated Region Fitting,https://r-forge.r-project.org/projects/arf/
Adaptive Cluster Sampling,https://r-forge.r-project.org/projects/acspkg/
AdhdRS4Calculator,https://r-forge.r-project.org/projects/adhdrs4calc/
Advanced Tools for Metrology,https://r-forge.r-project.org/projects/atmet/
Affymetrix Titan QC Package,https://r-forge.r-project.org/projects/titanqc/
Agreement A,https://r-forge.r-project.org/projects/agrmt/
Algorithms for Gas Storage Valuations,https://r-forge.r-project.org/projects/gasstorage/
Algorithms for Quantitative Pedology,https://r-forge.r-project.org/projects/aqp/
Alpaydin RNN for object recognition,https://r-forge.r-project.org/projects/alpaydinrnn/
An R interface to NOMADS,https://r-forge.r-project.org/projects/rnomads/
An R wrapper for PostgreSQL's libpq,https://r-forge.r-project.org/projects/rpg/
Analyse MA CANS data in R,https://r-forge.r-project.org/projects/cans-works/
Analysis of Count Time Series,https://r-forge.r-project.org/projects/tscount/
Analysis of Electricity Market Data,https://r-forge.r-project.org/projects/aemd/
Analysis of Independent Contrasts,https://r-forge.r-project.org/projects/caic/
Analysis of dose-response data,https://r-forge.r-project.org/projects/drc/
Analysis of forensic DNA databases,https://r-forge.r-project.org/projects/dnatools/
Analysis of multi-electrode array data,https://r-forge.r-project.org/projects/sjemea/
Analysis of phenological digital imagery,https://r-forge.r-project.org/projects/phenopix/
Andean bear habitat model,https://r-forge.r-project.org/projects/andeanbear/
Anderson-Darling GoF Test,https://r-forge.r-project.org/projects/adgoftest/
Animal,https://r-forge.r-project.org/projects/animal/
Animal Intake Behaviour Analysis Package,https://r-forge.r-project.org/projects/aiba/
Animations in Statistics,https://r-forge.r-project.org/projects/animation/
AnnotationDbiX,https://r-forge.r-project.org/projects/annotationdbix/
AppLong,https://r-forge.r-project.org/projects/applong/
Applied Predictive Modeling,https://r-forge.r-project.org/projects/apm/
Applied Sociological Research with R,https://r-forge.r-project.org/projects/asrr/
Aquatic Modelling Environment (AquaEnv),https://r-forge.r-project.org/projects/aquaenv/
Archetypal Analysis,https://r-forge.r-project.org/projects/archetypes/
ArrayExpressDataManage,https://r-forge.r-project.org/projects/aedatamanage/
Artificial Bee Colony,https://r-forge.r-project.org/projects/abco/
ArvoRe - Cost-Effectiveness,https://r-forge.r-project.org/projects/arvore/
AtelieR,https://r-forge.r-project.org/projects/atelier/
Augmented Prediction and Variable Select,https://r-forge.r-project.org/projects/augmpred/
Austin,https://r-forge.r-project.org/projects/austin/
Automated Affymetrix Array Analysis,https://r-forge.r-project.org/projects/a4/
Automated Exercise Generator,https://r-forge.r-project.org/projects/aeg/
BADGER,https://r-forge.r-project.org/projects/badger/
BART: Bayesian Additive Regression Trees,https://r-forge.r-project.org/projects/bartpack/
BCE,https://r-forge.r-project.org/projects/bce/
BSN.Utility,https://r-forge.r-project.org/projects/bsnutility/
BUGS Examples,https://r-forge.r-project.org/projects/bugs-examples/
BVSflex,https://r-forge.r-project.org/projects/bvsflex/
BaSTA,https://r-forge.r-project.org/projects/basta/
Back-Projected Kernel Density Estimation,https://r-forge.r-project.org/projects/bpkde/
Barcoding species in the Aspidoscelis,https://r-forge.r-project.org/projects/aspis/
Bayeisna Graph MCMC,https://r-forge.r-project.org/projects/bgraph/
Bayes factors,https://r-forge.r-project.org/projects/bayesfactorpcl/
Bayes normal linear model and basic MCMC,https://r-forge.r-project.org/projects/mas3321/
BayesPanel,https://r-forge.r-project.org/projects/bayespanel/
BayesR: Bayesian Structured Regression,https://r-forge.r-project.org/projects/bayesr/
BayesSDEmacroevolution,https://r-forge.r-project.org/projects/bayessdeevol/
BayesSurv,https://r-forge.r-project.org/projects/bayessurv/
